职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
双语经济学教师,1.5-2万·14薪,武汉·黄陂区,2年,本科,武汉康礼高级中学有限公司,教育/培训/院校,民营,150-500人,五险一金;餐饮补贴,双语;经济学;定期体检,
研究员（产业研究方向）,9千-1.5万,深圳·龙岗区,1-3年,硕士,深圳市智通国际科技创新研究中心,学术/科研,非营利组织,少于50人,五险一金,项目管理;报告撰写;数据分析处理;城乡规划;地产策划;金融数学;城市规划;咨询方案;商业分析;经济学,
国际课程教师（alevel数理化经济学老师）,1.2-2.4万,上海·青浦区,2年及以上,本科,上海聆悟教育科技有限公司,教育/培训/院校,民营,50-150人,,,
经济学教师,1-2万·13薪,苏州·苏州工业园区,2年及以上,硕士,苏州工业园区西交教育培训中心,教育/培训/院校,非营利组织,50-150人,五险一金;通讯补贴;节假日福利;带薪寒暑假,市场营销;金融;会计;管理学;经济学;统计学;定期体检,
AP经济学教师,1-1.8万,苏州·吴江区,1年及以上,本科,上海雅力教育培训有限公司,教育/培训/院校,民营,150-500人,五险一金;餐饮补贴;节日福利,教育;ap经济学;英语流利;定期体检;周末双休;寒暑假,
经济学编辑,10-12万/年,北京·海淀区,1年,博士,中国人民大学书报资料中心,文字媒体/出版,事业单位,150-500人,五险一金;交通补贴;餐饮补贴,编辑;年终奖金;定期体检;寒暑假,
DSE经济学老师,1.2-2万,广州·天河区,无需经验,本科,广州学为贵教育咨询有限公司,教育/培训/院校,民营,500-1000人,五险一金,教学;教育;课堂教学;经济学;课堂讨论;复习计划;个性化辅导;dse;考试指导;金融学;专业培训,
AP经济学助教,3-6千,青岛·市南区,无需经验,本科,青岛哥伦引领教育咨询有限公司,教育/培训/院校,民营,50-150人,假日福利,教学;英语;授课;教学服务;教学方法;数学;经济学;a_level;宏观经济;微观经济;实习证明;出国机会,
零售金融（工程机械）运营审核岗,1.5-3万,合肥·滨湖新区,3年及以上,本科,皖江金融租赁股份有限公司,金融/投资/证券,国企,150-500人,五险一金;补充医疗保险,计算机;机械;数学;经济学;工商管理;流程优化;风控;工程机械;风控模型;风控政策,
投资岗（低空经济方向）(J10001),1.6-3万,广州·南沙区,10年及以上,本科,广州南沙资产经营集团有限公司,多元化业务集团公司,国企,500-1000人,五险一金;带薪年假,定期体检;年终奖金;专业培训;周末双休;做五休二,
