职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
证券分析师（五险一金+餐补+13-15薪）,8千-1.2万·15薪,深圳·宝安区,无需经验,硕士,深圳前海千石资本管理有限公司,金融/投资/证券,民营,50-150人,五险一金,数据分析;金融;经济;数学;投资建议;投资策略;研究报告;证券市场;宏观经济;公司研究;员工旅游,
公共融资分析员,8千-1万·15薪,上海·黄浦区,在校生/应届生,本科,上海新世纪资信评估投资服务有限公司,金融/投资/证券,民营,150-500人,五险一金;绩效奖金,弹性工作;上升空间大,
卖方证券分析师,9.5千-1万·13薪,上海·闵行区,无需经验,本科,易唯思商务咨询（上海）有限公司,专业服务(咨询、人力资源、财会),外资（欧美）,150-500人,五险一金,外资银行;股票研究;二级市场;股票分析师;CFA;金融;DCF;公司估值;卖方研究;研报撰写;年终奖金,
研究发展中心-证券分析师（行业）,1-2万,长沙·芙蓉区,2年及以上,硕士,财信证券股份有限公司,金融/投资/证券,国企,1000-5000人,,经济学;调研;金融理论;行业研究报告;个股研究报告;专题研究;金融学,
交易岗（跨境方向）,7.5千-1.5万,北京·西城区,2年及以上,硕士,招商证券股份有限公司,金融/投资/证券,国企,10000人以上,五险一金,,
证券研究员,1-1.2万·14薪,广州·天河区,2年及以上,本科,融捷投资控股集团有限公司,多元化业务集团公司,民营,10000人以上,,美股;日股;行业研究分析;上市公司,
日语证券分析师,1-1.2万·13薪,上海·闵行区,无需经验,本科,易唯思商务咨询（上海）有限公司,专业服务(咨询、人力资源、财会),外资（欧美）,150-500人,五险一金,日语;金融;二级行研;股票分析师;卖方研究;公司估值;研报撰写;CFA;DCF;年终奖金;专业培训,
证券研究所-行业分析师岗（创新药方向）,1-1.8万,上海·浦东新区,1年及以上,硕士,爱建证券有限责任公司,金融/投资/证券,国企,500-1000人,,,
证券分析师/行业研究员（双休+带薪假）,6-9千·13薪,广州·番禺区,1年及以上,本科,广州柏毅企业咨询有限公司,金融/投资/证券,民营,少于50人,五险一金;餐饮补贴,证券研究员;股票分析师;股票研究员;基金研究员;员工旅游;专业培训;年终奖金;定期体检,
宏观联席首席分析师/分析师/研究员/研究助理(000591),1.5-2.5万,深圳·福田区,1年及以上,硕士,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,数据分析;证券从业资格;经济学;路演;大类资产配置;电话会议;分析师;产业发展;区域经济;研究助理;上市公司,
行业研究员/股票研究员,9.5千-1万·13薪,上海·闵行区,无需经验,本科,易唯思商务咨询（上海）有限公司,专业服务(咨询、人力资源、财会),外资（欧美）,150-500人,五险一金,外资投行;二级行研;股票研究;股票分析师;卖方研究;金融;CFA;DCF;公司估值;研报撰写;年终奖金,
美股证券分析师,3-4万·13薪,深圳·福田区,3年及以上,硕士,深圳市正奥投资集团有限公司,计算机软件,民营,未知,五险一金;交通补贴,数学;英文;金融机构;cfa;金融工程;评估;frm;决策支持;行业分析师;研究框架;员工旅游,
固定收益投资专员,1-2万,成都,1年,硕士,成都泓和投资有限公司,金融/投资/证券,民营,少于50人,五险一金,金融;投资;固定收益产品;金融市场;债券市场;券商资管;金融投资工具;投资分析;量化分析;证券分析,
宏观联席首席分析师/分析师/研究员/研究助理(000591),1.5-2.5万,北京·东城区,1年及以上,硕士,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,数据分析;证券从业资格;经济学;路演;大类资产配置;电话会议;分析师;产业发展;区域经济;研究助理;上市公司,
投资分析师,12-15万/年,成都·武侯区,2年,硕士,成都誉恒投资有限公司,金融/投资/证券,民营,50-150人,带薪年假;五险一金;节日福利;交通补贴;餐饮补贴,周末双休;早九晚五,
基金经理助理/行业研究员,1.5-3万,上海·浦东新区,无需经验,本科,上海深梧资产管理有限公司,金融/投资/证券,民营,少于50人,五险一金;绩效奖金,买方研究员;员工旅游;专业培训;年终奖金;定期体检,
行业研究员/股票研究员,5千-1万,上海,无需经验,本科,上海元涞私募基金管理有限公司,金融/投资/证券,民营,少于50人,五险一金,研究报告;基金产品;投资;股票投资;个股研究报告;价值投资,
证券研究员（金融国企）,15-30万/年,长沙,2年及以上,硕士,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,,,
证券分析师,1-2万,成都,无需经验,硕士,成都泓和投资有限公司,金融/投资/证券,民营,少于50人,五险一金;交通补贴;餐饮补贴;通讯补贴;绩效奖金;节日福利,数据;分析;金融;证券;基金;投资;定期体检,
新股研究员,1.2-1.8万,上海·黄浦区,2年及以上,本科,上海玖石股权投资管理有限公司,金融/投资/证券,民营,少于50人,五险一金;绩效奖金,数据分析;金融;经济;员工旅游;专业培训;年终奖金;定期体检,
